epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3362,1.32307,2.36671,1.53058,0.56303,0.45139,0.43429,0.18119,1.67006,2.25002,2.23758,0.000474451,0.000474451,0.000474451
2,104.661,1.39656,1.82685,1.59832,0.67366,0.50083,0.55588,0.2704,1.63308,1.88182,2.06209,0.000931958,0.000931958,0.000931958
3,157.066,1.40955,1.66679,1.60433,0.68845,0.56966,0.62233,0.31668,1.62994,1.67098,1.99766,0.0013706,0.0013706,0.0013706
4,204.236,1.32411,1.48153,1.53834,0.72233,0.66567,0.72705,0.43294,1.35653,1.39104,1.76975,0.00134412,0.00134412,0.00134412
5,251.923,1.27582,1.35814,1.50019,0.73863,0.63353,0.70637,0.40393,1.45503,1.44228,1.88299,0.00131582,0.00131582,0.00131582
6,299.859,1.229,1.26725,1.47273,0.84871,0.66844,0.77926,0.47754,1.34706,1.2161,1.75424,0.00128753,0.00128753,0.00128753
7,349.693,1.19551,1.20345,1.44473,0.76073,0.69281,0.77404,0.4878,1.29135,1.20495,1.69035,0.00125923,0.00125923,0.00125923
8,398.714,1.19193,1.17341,1.43838,0.77236,0.62726,0.72949,0.44815,1.34004,1.26365,1.72303,0.00123094,0.00123094,0.00123094
9,445.928,1.15462,1.10848,1.41287,0.74898,0.63153,0.70915,0.42497,1.39387,1.23845,1.74024,0.00120265,0.00120265,0.00120265
10,493.578,1.13241,1.08371,1.39691,0.79827,0.73109,0.79567,0.51305,1.22392,1.11487,1.61516,0.00117435,0.00117435,0.00117435
11,540.794,1.11808,1.03542,1.3841,0.84125,0.67303,0.77666,0.51119,1.17001,1.10107,1.59485,0.00114606,0.00114606,0.00114606
12,587.614,1.10106,1.02462,1.37412,0.79709,0.72649,0.79564,0.52712,1.21172,1.02776,1.63295,0.00111776,0.00111776,0.00111776
13,634.572,1.0863,0.99247,1.36024,0.8312,0.73563,0.82478,0.56578,1.14379,1.01946,1.56821,0.00108947,0.00108947,0.00108947
14,682.062,1.07557,0.97558,1.35208,0.83625,0.76835,0.82252,0.55708,1.16727,0.9223,1.56553,0.00106118,0.00106118,0.00106118
15,730.04,1.06928,0.95889,1.35412,0.88517,0.73544,0.82862,0.55922,1.15435,0.94477,1.58156,0.00103288,0.00103288,0.00103288
16,781.327,1.05979,0.93924,1.34493,0.87497,0.75405,0.8442,0.58465,1.15604,0.88344,1.55195,0.00100459,0.00100459,0.00100459
17,831.006,1.04858,0.91282,1.33472,0.86593,0.77442,0.84047,0.58767,1.11038,0.85657,1.53179,0.000976293,0.000976293,0.000976293
18,880.978,1.02823,0.89123,1.31924,0.90273,0.76674,0.85868,0.59695,1.12436,0.8158,1.53178,0.000947999,0.000947999,0.000947999
19,929.311,1.01457,0.86766,1.3122,0.86076,0.74014,0.83416,0.58217,1.11995,0.93933,1.58409,0.000919704,0.000919704,0.000919704
20,978.277,1.0068,0.85292,1.30338,0.89074,0.76865,0.85547,0.59407,1.11948,0.83411,1.53906,0.00089141,0.00089141,0.00089141
21,1027.34,0.99282,0.83782,1.29507,0.89116,0.76069,0.85792,0.6188,1.04747,0.84591,1.49761,0.000863116,0.000863116,0.000863116
22,1077.19,0.98207,0.81891,1.28501,0.88624,0.77756,0.86147,0.62179,1.04086,0.79014,1.49212,0.000834822,0.000834822,0.000834822
23,1125.92,0.9817,0.81072,1.28484,0.89078,0.79639,0.87075,0.61492,1.08204,0.79344,1.50105,0.000806528,0.000806528,0.000806528
24,1174.79,0.96613,0.79651,1.27924,0.88829,0.78869,0.86968,0.62364,1.05934,0.78125,1.49211,0.000778233,0.000778233,0.000778233
25,1224.58,0.95859,0.77862,1.26968,0.89326,0.78911,0.86633,0.63033,1.02859,0.79253,1.45663,0.000749939,0.000749939,0.000749939
26,1274.01,0.96033,0.77803,1.27219,0.91062,0.78938,0.86345,0.62302,1.04896,0.81895,1.47519,0.000721645,0.000721645,0.000721645
27,1323.36,0.94548,0.76518,1.26168,0.90514,0.78133,0.86939,0.62888,1.04306,0.80286,1.49472,0.000693351,0.000693351,0.000693351
28,1372.46,0.93009,0.75456,1.25299,0.90662,0.80629,0.88432,0.63851,1.02294,0.73337,1.45985,0.000665057,0.000665057,0.000665057
29,1422.03,0.9258,0.7328,1.24602,0.91215,0.80308,0.88477,0.64898,1.02028,0.72249,1.46082,0.000636762,0.000636762,0.000636762
30,1469.79,0.91575,0.7329,1.24054,0.91098,0.80098,0.87548,0.63657,1.02725,0.72274,1.47829,0.000608468,0.000608468,0.000608468
